date	евро	доллар
20140101	45.0559	32.6587
20140110	45.0672	33.1547
20140111	45.2069	33.2062
20140114	45.2855	33.1204
20140115	45.4139	33.2386
20140116	45.4878	33.3562
20140117	45.4926	33.4013
20140118	45.5175	33.4343
20140121	45.5424	33.6429
20140122	45.8242	33.8161
20140123	45.9125	33.8688
20140124	46.105	34.0334
20140125	46.8985	34.26
20140128	47.4962	34.7093
20140129	47.3739	34.625
20140130	47.2238	34.5633
20140131	48.0951	35.2448
20140201	47.6408	35.18
20140204	47.5351	35.2347
20140205	47.9535	35.4502
20140206	47.2159	34.9592
20140207	46.9497	34.7287
20140208	47.0205	34.6044
20140211	47.3758	34.7636
20140212	47.5319	34.7964
20140213	47.4154	34.7595
20140214	47.4913	34.8611
20140215	48.2618	35.2559
20140218	48.1188	35.0976
20140219	48.3086	35.2386
20140220	48.973	35.5857
20140221	49.1975	35.767
20140222	48.9497	35.6828
20140225	48.7959	35.5112
20140226	48.8654	35.5669
20140227	49.1823	35.7872
20140228	49.3454	36.0501
20140301	49.5839	36.1847
20140304	50.1513	36.3784
20140305	49.952	36.3208
20140306	49.5446	36.0849
20140307	49.5925	36.1251
20140308	50.2625	36.2618
20140312	50.4707	36.4015
20140313	50.5593	36.4865
20140314	50.8096	36.4566
20140315	50.7635	36.6391
20140318	50.9442	36.6505
20140319	50.7621	36.4487
20140320	50.4146	36.207
20140321	49.9628	36.1081
20140322	50.1804	36.4022
20140325	49.9167	36.1663
20140326	49.7042	35.9316
20140327	48.9521	35.4494
20140328	49.0484	35.581
20140329	49.0519	35.6871
20140401	48.968	35.6053
20140402	48.2596	35.024
20140403	48.6826	35.2517
20140404	48.8834	35.5154
20140405	48.6435	35.501
20140408	48.6159	35.4679
20140409	48.86	35.5475
20140410	49.2911	35.7493
20140411	49.2266	35.5581
20140412	49.4994	35.6239
20140415	49.8232	35.989
20140416	49.6836	35.9635
20140417	49.886	36.0813
20140418	49.7289	35.9287
20140419	49.1041	35.5389
20140422	49.2978	35.6688
20140423	49.2185	35.6785
20140424	49.282	35.6625
20140425	49.3175	35.683
20140426	49.6969	35.9289
20140429	49.8219	36.0245
20140430	49.5064	35.6983
20140501	49.3188	35.7227
20140506	49.7361	35.8381
20140507	49.507	35.655
20140508	49.412	35.4971
20140509	48.7642	35.0343
20140513	48.4759	35.2091
20140514	48.0073	34.8789
20140515	47.6173	34.709
20140516	47.5674	34.7005
20140517	47.6999	34.7794
20140520	47.6416	34.7394
20140521	47.3995	34.6007
20140522	47.3171	34.5078
20140523	46.8507	34.2802
20140524	46.835	34.3139
20140527	46.4266	34.0771
20140528	46.7712	34.2571
20140529	47.0161	34.4895
20140530	47.1145	34.6481
20140531	47.2677	34.7352
20140603	47.5463	34.8887
20140604	47.6296	35.0115
20140605	47.8253	35.1398
20140606	47.4908	34.9043
20140607	47.3211	34.6573
20140610	46.8746	34.3303
20140611	46.7269	34.3681
20140612	46.4764	34.3227
20140617	46.8085	34.5654
20140618	47.2121	34.8095
20140619	47.1715	34.8232
20140620	46.696	34.3025
20140621	46.8821	34.419
20140624	46.6478	34.2797
20140625	46.2212	33.9812
20140626	46.1576	33.907
20140627	46.0226	33.7508
20140628	45.8251	33.6306
20140701	46.1827	33.8434
20140702	46.8335	34.2275
20140703	46.8398	34.2496
20140704	46.6863	34.1949
20140705	46.687	34.3236
20140708	46.9448	34.5691
20140709	46.8122	34.4258
20140710	46.4146	34.0758
20140711	46.1649	33.8353
20140712	46.3328	34.0582
20140715	46.6835	34.3135
20140716	46.791	34.3723
20140717	46.6299	34.3853
20140718	47.0702	34.7998
20140719	47.5505	35.1627
20140722	47.5048	35.09
20140723	47.3758	35.0387
20140724	46.8718	34.8101
20140725	47.1702	35.0786
20140726	47.2206	35.0535
20140729	47.4799	35.3457
20140730	47.8635	35.6339
20140731	47.8958	35.7271
20140801	47.4699	35.4438
20140802	47.8244	35.7272
20140805	47.8671	35.6605
20140806	48.049	35.7987
20140807	48.2432	36.1102
20140808	48.4947	36.2496
20140809	48.7722	36.4461
20140812	48.2856	36.0475
20140813	48.2402	36.089
20140814	48.411	36.2222
20140815	48.1416	36.0395
20140816	48.1231	36.0014
20140819	48.2398	36.0294
20140820	48.2133	36.1094
20140821	48.1924	36.224
20140822	48.1686	36.3317
20140823	47.8548	36.0027
20140826	47.6641	36.1201
20140827	47.7282	36.1358
20140828	47.6177	36.1397
20140829	47.952	36.3053
20140830	48.6315	36.9316
20140902	48.9677	37.2945
20140903	49.0193	37.348
20140904	49.0213	37.3183
20140905	48.3786	36.8038
20140906	47.7806	36.9219
20140909	47.9789	37.0866
20140910	47.7118	37.0261
20140911	48.0636	37.1693
20140912	48.2484	37.3758
20140913	48.6647	37.6545
20140916	49.1958	37.9861
20140917	50.0582	38.7058
20140918	49.6923	38.3724
20140919	49.4592	38.4209
20140920	49.5379	38.4134
20140923	49.6193	38.5782
20140924	49.6912	38.6672
20140925	49.3145	38.383
20140926	48.8449	38.3007
20140927	49.3386	38.7243
20140930	49.954	39.3866
20141001	49.9817	39.3836
20141002	50.0554	39.6604
20141003	49.9484	39.5474
20141004	50.2021	39.698
20141007	50.0775	39.982
20141008	50.2017	39.7417
20141009	50.5091	39.9819
20141010	50.9585	39.98
20141011	51.0538	40.2125
20141014	51.0798	40.3251
20141015	51.5141	40.5304
20141016	51.7829	40.9416
20141017	52.1504	40.7457
20141018	52.5253	41.045
20141021	52.1198	40.8815
20141022	52.6468	41.0501
20141023	52.1388	40.9671
20141024	52.4424	41.4958
20141025	52.9065	41.8101
20141028	53.2342	41.9497
20141029	53.8693	42.3934
20141030	54.3393	42.6525
20141031	54.6378	43.3943
20141101	52.7219	41.9627
20141106	55.6234	44.3993
20141107	56.545	45.1854
20141108	59.3153	47.8774
20141111	57.2418	45.8926
20141112	57.0494	45.952
20141113	57.8575	46.3379
20141114	57.4235	46.1233
20141115	58.9793	47.392
20141118	59.3081	47.3329
20141119	58.6448	46.9797
20141120	58.909	47.0294
20141121	58.5817	46.7047
20141122	57.4377	45.7926
20141125	55.5336	44.7852
20141126	55.8779	44.9758
20141127	57.9052	46.4244
20141128	59.6215	47.6629
20141129	61.4108	49.322
20141202	64.4425	51.8068
20141203	63.2414	50.7678
20141204	67.2652	54.3821
20141205	64.8443	52.6932
20141206	65.7168	53.1088
20141209	65.4248	53.3079
20141210	66.8809	54.2116
20141211	67.1989	54.2758
20141212	68.2942	54.7932
20141213	70.5289	56.8919
20141216	72.6642	58.3461
20141217	76.1516	61.1512
20141218	84.589	67.7851
20141219	73.3414	59.6029
20141220	74.5727	60.6825
20141223	69.2503	56.494
20141224	66.7539	54.5687
20141225	66.4031	54.4913
20141226	64.3177	52.6159
20141227	63.5131	52.0343
20141230	69.059	56.6801
20141231	68.3427	56.2584
20150101	68.3681	56.2376
20150113	74.3551	62.7363
20150114	76.7735	64.8425
20150115	77.9629	66.0983
20150116	76.3352	64.8337
20150117	75.8623	65.1738
20150120	75.174	64.9732
20150121	75.2735	64.9862
20150122	75.8218	65.5558
20150123	75.7724	65.4
20150124	71.9067	63.393
20150127	73.5633	65.5937
20150128	76.2922	67.8153
20150129	76.2629	67.1506
20150130	77.569	68.7303
20150131	78.1105	68.9291
20150203	78.79	69.664
20150204	76.8271	67.7727
20150205	75.0415	65.447
20150206	77.9356	68.6113
20150207	75.6591	66.0432
20150210	74.5833	65.7817
20150211	74.1382	65.4469
20150212	74.7386	66.0585
20150213	74.8311	66.0994
20150214	74.3675	65.0862
20150217	71.5426	62.6632
20150218	71.3243	62.8353
20150219	71.08	62.4001
20150220	70.9408	62.1307
20150221	70.0315	61.7235
20150225	71.9422	63.5083
20150226	71.1655	62.5906
20150227	68.9797	60.7109
20150228	68.6857	61.2718
20150303	69.5424	62.2248
20150304	69.8487	62.3649
20150305	69.1138	61.8745
20150306	68.3086	61.8457
20150307	66.1012	59.9938
20150311	65.5242	60.6649
20150312	66.9168	62.6797
20150313	64.6232	60.9595
20150314	64.965	61.3167
20150317	65.4063	62.1497
20150318	65.4314	61.751
20150319	65.0108	61.3483
20150320	64.1446	59.8308
20150321	64.0504	60.0341
20150324	64.1473	59.4452
20150325	64.3425	58.771
20150326	62.7651	57.3879
20150327	62.0811	56.4271
20150328	62.5655	57.7279
20150331	63.3695	58.4643
20150401	62.0487	57.65
20150402	62.7476	58.3536
20150403	61.6919	56.9902
20150404	61.7363	56.7534
20150407	62.0377	56.5161
20150408	60.4124	55.3328
20150409	58.7003	54.027
20150410	56.5251	52.5424
20150411	54.2749	51.0678
20150414	55.5201	52.422
20150415	54.8387	51.9749
20150416	53.6598	50.5033
20150417	52.9087	49.6749
20150418	54.5163	50.5295
20150421	55.5496	51.5207
20150422	57.5998	53.9728
20150423	57.7226	53.6555
20150424	55.1255	51.6011
20150425	54.659	50.2473
20150428	55.8747	51.469
20150429	56.9016	52.3041
20150430	56.806	51.7029
20150501	57.1578	51.1388
20150506	57.4093	51.7574
20150507	56.1843	49.9816
20150508	57.2207	50.3615
20150509	56.8971	50.7511
20150513	57.1102	50.914
20150514	55.7138	49.5366
20150515	57.1383	50.0774
20150516	56.9881	50.0115
20150519	56.103	49.2175
20150520	55.1085	49.1777
20150521	55.2441	49.7919
20150522	55.5714	49.9204
20150523	55.5508	49.7901
20150526	54.7477	49.8613
20150527	54.8412	50.3223
20150528	55.6757	51.0178
20150529	57.1433	52.2907
20150530	58.0145	52.9716
20150602	57.702	52.8213
20150603	58.6037	53.4413
20150604	59.113	53.059
20150605	61.9471	54.9908
20150606	63.3221	56.2463
20150609	62.5053	56.0435
20150610	63.0721	55.91
20150611	62.2064	54.8219
20150612	61.4754	54.5285
20150616	62.1045	55.2679
20150617	61.104	54.0409
20150618	60.7452	53.8999
20150619	60.6417	53.3301
20150620	60.913	53.8006
20150623	60.8567	53.5569
20150624	61.0546	54.2081
20150625	60.5852	54.0746
20150626	61.1986	54.6026
20150627	61.4066	54.8126
20150630	61.5206	55.524
20150701	62.3803	55.8413
20150702	61.6556	55.4756
20150703	61.5661	55.6555
20150704	61.7492	55.6049
20150707	62.4246	56.4112
20150708	63.0441	57.2192
20150709	63.0822	57.2174
20150710	63.043	56.9803
20150711	62.9474	56.6685
20150714	62.9819	56.6079
20150715	62.6239	56.9774
20150716	62.3986	56.6642
20150717	62.1841	56.9504
20150718	61.9183	56.8423
20150721	61.6929	56.8336
20150722	61.7622	57.0025
20150723	62.3948	57.0232
20150724	62.933	57.3578
20150725	63.609	58.0374
20150728	65.083	58.7816
20150729	66.6248	60.2231
20150730	65.9882	59.7665
20150731	64.6478	58.9906
20150801	66.0002	60.3458
20150804	68.577	62.4677
20150805	68.9961	62.9182
20150806	68.1435	62.7184
20150807	69.6314	63.8644
20150808	69.8089	63.8399
20150811	70.754	64.4977
20150812	69.6762	63.2098
20150813	72.2078	65.0169
20150814	71.1475	63.9988
20150815	72.365	64.9363
20150818	72.5712	65.5034
20150819	72.9187	65.8289
20150820	72.7085	65.7222
20150821	74.4738	66.9608
20150822	76.6709	68.1216
20150825	81.1533	70.7465
20150826	80.7248	69.9461
20150827	79.7252	69.3142
20150828	76.3369	67.4473
20150829	75.0469	66.4779
20150901	74.8478	66.7152
20150902	73.8449	65.3495
20150903	75.0901	66.6756
20150904	75.2659	67.0102
20150905	75.4011	67.685
20150908	76.3692	68.4864
20150909	76.9246	68.7932
20150910	75.5742	67.6219
20150911	76.6951	68.4961
20150912	76.8165	68.0093
20150915	77.1313	67.9571
20150916	75.9013	67.1574
20150917	74.2407	65.9273
20150918	73.9378	65.3623
20150919	74.9726	65.6445
20150922	74.8304	66.1455
20150923	73.9568	66.1747
20150924	73.5367	66.041
20150925	74.5435	66.5151
20150926	73.1397	65.6727
20150929	73.2684	65.547
20150930	74.5825	66.2367
20151001	73.776	65.7364
20151002	72.4865	65.0336
20151003	73.6302	65.9414
20151006	73.7951	65.6248
20151007	72.9468	65.0962
20151008	70.4691	62.7061
20151009	70.3052	62.2942
20151010	69.345	61.2967
20151013	69.5499	61.1535
20151014	70.8977	62.2237
20151015	72.0506	63.1248
20151016	71.281	62.2433
20151017	69.771	61.3587
20151020	69.7796	61.4419
20151021	70.529	62.162
20151022	71.1738	62.6309
20151023	71.0895	62.7888
20151024	68.7903	61.9286
20151027	69.0104	62.5038
20151028	70.2124	63.5004
20151029	72.1479	65.3159
20151030	70.1427	64.1686
20151031	70.7537	64.3742
20151103	70.3961	63.7993
20151104	70.3782	63.8525
20151106	68.8261	63.3991
20151107	69.2555	63.6832
20151110	69.6136	64.6606
20151111	69.2394	64.3908
20151112	69.3797	64.5693
20151113	70.337	65.4541
20151114	71.8184	66.6343
20151117	71.3987	66.4607
20151118	69.7819	65.4799
20151119	69.0021	64.7785
20151120	69.339	64.912
20151121	69.3886	64.8673
20151124	69.7037	65.5973
20151125	69.8076	65.621
20151126	69.8987	65.4789
20151127	69.7034	65.6836
20151128	70.3859	66.2393
20151201	70.6478	66.737
20151202	70.1345	66.2584
20151203	70.8647	66.7402
20151204	71.7404	67.7691
20151205	73.6721	67.6698
20151208	74.4079	68.5156
20151209	75.3111	69.3026
20151210	75.5595	69.2
20151211	76.0674	69.2151
20151212	75.7472	69.1755
20151215	76.9659	70.2244
20151216	78.2312	70.8295
20151217	77.04	70.4012
20151218	76.6788	70.5806
20151219	77.4052	71.3215
20151222	77.483	71.2553
20151223	77.6145	71.1211
20151224	77.5443	70.9333
20151225	76.0441	69.5165
20151226	77.05	70.269
20151229	77.6032	70.7865
20151230	79.547	72.5066
20151231	79.6972	72.8827
20160101	79.6395	72.9299
20160112	82.809	75.9507
20160113	83.4372	76.6041
20160114	82.7175	76.4275
20160115	83.1499	76.523
20160116	83.2951	76.565
20160119	85.622	78.6678
20160120	85.2988	78.4862
20160121	87.0341	79.4614
20160122	91.1814	83.5913
20160123	87.2266	80.5714
20160126	84.1603	77.7965
20160127	88.8858	81.8394
20160128	85.8459	78.9969
20160129	84.137	77.3674
20160130	81.9077	75.1723
20160202	82.8141	76.3264
20160203	84.9719	77.9273
20160204	86.5115	79.2593
20160205	84.8104	76.4609
20160206	86.5754	77.3409
20160209	85.6543	76.8614
20160210	88.0435	78.6805
20160211	89.2213	79.0689
20160212	89.3439	79.1144
20160213	89.8454	79.4951
20160216	87.1905	77.7792
20160217	85.0894	76.245
20160218	86.9588	77.8503
20160219	84.0521	75.4575
20160220	84.9187	76.3657
20160221	85.8563	77.1326
20160225	84.0779	76.3928
20160226	84.2155	76.3929
20160227	82.9748	75.0903
